"mail","password","userid","role","name"
"chetanw@gmail.com","chetanedc","a2","role-1","mokshit"
"xyz@gmail.com","Xyz@123","b1","role-2","chetan"
"qw@gmail.com","123edc","b2","role-2","chetan"
"abc@gmail.com","Abc@123","a1","role-1","pranav"
"mokshshshshsw@gmail.com","chetanedc","a3","role-1","pranav"
"chase@gmail.com","hyderabad","b3","role-2","jpmc"
"abc123@email.com","abc123","b4","role-2","vedansh"
"abs@gmaill.com","abc123","a4","role-1","pranav2"
"abcdef@gmail.com","abc123","b5","role-2","sathvik"
"abcbala@gmail.com","abc123","a5","role-1","balasir"
"Sathdel@gmail.com","sathvik123","a6","role-1","Sathvik"
